Country	Source Company IDs	City	Tamr ID	mockid	Enriched Phone Number - National Format	Full Address	Entity ID	Alternative Names	Enriched Phone Number - Carrier	Enriched Full Address	Enriched Phone Type	Phone	Google Lookup	Company Name	Address Line 1	Enriched Phone Number - Is Valid?	Address Line 2	Region	Postal Code
US	001U000000sclZkjVA	COLUMBUS	3720088d-94f9-31c6-ae42-314dd7471caa	1	null	683 NORTH JAMES ROAD, COLUMBUS, OH, 43219, US	3720088d-94f9-31c6-ae42-314dd7471caa		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A+&+H+AUTOMOTIVE+INDUSTRIES+INC	A & H AUTOMOTIVE INDUSTRIES INC	683 NORTH JAMES ROAD	null	null	OH	43219
US	001U000000Zyg1HOMW | 001U000000kPUS9SMe	KILLEEN	2aa995b2-cb40-3ee9-97fa-84f9225be1d3	1	null	114 N 4TH ST, KILLEEN, TX, 76541, US	2aa995b2-cb40-3ee9-97fa-84f9225be1d3		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A+&+L+SANCHEZ+PAINTING+AND+CONSTRUCTION+INC	A & L SANCHEZ PAINTING AND CONSTRUCTION INC	114 N 4TH ST	null	null	TX	76541
US	001U000000aimt9sYb	ALEXANDRIA	527769f7-1cfa-389d-8cf3-40d095f2e052	1	(703) 750-0822	5649B GENERAL WASHINGTON DR, ALEXANDRIA, VA, 22312, US	527769f7-1cfa-389d-8cf3-40d095f2e052				Fixed Line	7037500822	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A+&+R+MECHANICAL+INSULATION+INC	A & R MECHANICAL INSULATION INC	5649B GENERAL WASHINGTON DR	TRUE	null	VA	22312
US	001U000000pELZO5i8 | 001U000000ymT3Q2QA	LITHONIA	1f9eb695-8841-392b-9077-9b6caae0d525	1	(770) 482-7333	6622 CHIAPUK COURT, LITHONIA, GA, 30038, US	1f9eb695-8841-392b-9077-9b6caae0d525				Fixed Line	7704827333	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A+S+INDOOR+AIR+QUALITY+&+CHIMNEY+SERVICE,+INC.	A S INDOOR AIR QUALITY & CHIMNEY SERVICE, INC.	6622 CHIAPUK COURT	TRUE	null	GA	30038
US	001U0000004fdRjamU	null	68e2a386-08b3-3b32-95a3-2e681ae05fb3	1	null	705 EL BORDO RD, NM, 88030, US	68e2a386-08b3-3b32-95a3-2e681ae05fb3		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A.+T.+DISPOSAL,+INC.	A. T. DISPOSAL, INC.	705 EL BORDO RD	null	null	NM	88030
US	001U000000uTcclCRT	MARION	dac734af-ca0b-325c-8c10-9d240947148f	1	null	FOURTEEN BARNABAS RD, MARION, MA, 2738, US	dac734af-ca0b-325c-8c10-9d240947148f		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A.I.S.,+INC.	A.I.S., INC.	FOURTEEN BARNABAS RD	null	null	MA	2738
US	001U000000KTPFgiUy	EAST LANSING	7e4a5ae3-8c62-316d-9900-55e5d7deb69f	1	null	4660 S HAGADORN RD STE 290, EAST LANSING, MI, 48823, US	7e4a5ae3-8c62-316d-9900-55e5d7deb69f		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A.J.+BOGGS+&+COMPANY	A.J. BOGGS & COMPANY	4660 S HAGADORN RD STE 290	null	null	MI	48823
US	001U000000RMncLbdQ | 001U000000iEo1YVLU	BRIGHTON	e9039164-bedd-3edf-8de9-ab26d4c70e5d	1	null	353 WASHINGTON ST, UNIT FOUR, BRIGHTON, MA, 2135, US	e9039164-bedd-3edf-8de9-ab26d4c70e5d		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=A.M.S.+NETWORK,+LLC	A.M.S. NETWORK, LLC	353 WASHINGTON ST, UNIT FOUR	null	null	MA	2135
US	001U000000zU1nmnWD	WOODLAND PARK, CO	edfa842f-f983-3353-bcf0-daf0a1be29bb	1	(210) 293-6400	800 EAST HIGHWAY 24, STE EAST-6, WOODLAND PARK, CO, CO, 80863, US	edfa842f-f983-3353-bcf0-daf0a1be29bb				Fixed Line	2102936400	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ABACUS+SOLUTIONS+GROUP,+LLC	ABACUS SOLUTIONS GROUP, LLC	800 EAST HIGHWAY 24, STE EAST-6	TRUE	null	CO	80863
US	001U000000MMnMxYh1 | 001U000000XJFmr0eW	CHATTAROY	dc4cd145-a73c-30bf-9905-3ce152e901a7	1	null	36308 N NEWPORT HWY, CHATTAROY, WA, 99003, US	dc4cd145-a73c-30bf-9905-3ce152e901a7		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ABLE+SPACES+INC.	ABLE SPACES INC.	36308 N NEWPORT HWY	null	null	WA	99003
US	001U000000A4NtuYV7	GRANTS PASS	38da1b72-59f0-35f0-81d6-a958ab1cce9e	1	null	6152 RIVERBANKS RD, GRANTS PASS, OR, 97527, US	38da1b72-59f0-35f0-81d6-a958ab1cce9e		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ABRAHAM+CONTRACTING,+INC	ABRAHAM CONTRACTING, INC	6152 RIVERBANKS RD	null	null	OR	97527
US	001U000000cypbyrGF	RICHMOND	67452b7e-8291-3c9b-8a4a-04e43b2d4e74	1	null	1122 NW T ST, RICHMOND, IN, 47374, US	67452b7e-8291-3c9b-8a4a-04e43b2d4e74		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ABSOCOLD+CORPORATION	ABSOCOLD CORPORATION	1122 NW T ST	null	null	IN	47374
US	001U0000001MFuIltR | 001U000000uyGF0f97	IRVINGTON	fede0cc3-6731-3f5f-b235-bc233c8255f5	1	(914) 357-2600	1 BRIDGE STE 121, IRVINGTON, NY, 10533, US	fede0cc3-6731-3f5f-b235-bc233c8255f5				Fixed Line	9143572600	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ABYRX,+INC.	ABYRX, INC.	1 BRIDGE STE 121	TRUE	null	NY	10533
US	001U0000002aRaBaMT	WILLIAMS, CA	359a2a13-6728-3bea-931c-fa5fc9684d38	1	(530) 473-2827	6133 ABEL ROAD, WILLIAMS, CA, CA, 95987, US	359a2a13-6728-3bea-931c-fa5fc9684d38				Fixed Line	5304732827	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACC-GWG,+LLC	ACC-GWG, LLC	6133 ABEL ROAD	TRUE	null	CA	95987
US	001U000000LZAVGymT	GLENDALE	e6d8f0bc-228c-3fb2-84db-17ac9b6f0a3f	1	(818) 244-6571	6265 SAN FERNANDO RD, GLENDALE, CA, 91201, US	e6d8f0bc-228c-3fb2-84db-17ac9b6f0a3f				Fixed Line	8182446571	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACCO+ENGINEERED+SYSTEMS,+INC.	ACCO ENGINEERED SYSTEMS, INC.	6265 SAN FERNANDO RD	TRUE	null	CA	91201
US	001U000000cQOvhsYP	JACKSONVILLE, FL	61d3f74a-106a-345a-a231-148deac72548	1	(904) 294-8875	3766 5 FARMS COURT, JACKSONVILLE, FL, FL, 32225, US	61d3f74a-106a-345a-a231-148deac72548				Mobile	9042948875	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACCP+SERVICES+INC	ACCP SERVICES INC	3766 5 FARMS COURT	TRUE	null	FL	32225
US	001U000000g3TmFghZ	SACRAMENTO	12e4774f-1ae8-3f1e-9630-7429ce83533f	1	null	10461 OLD PLACERVILLE RD STE 160, SACRAMENTO, CA, 95827, US	12e4774f-1ae8-3f1e-9630-7429ce83533f		null		null	null	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACCUGOV,+INC.	ACCUGOV, INC.	10461 OLD PLACERVILLE RD STE 160	null	null	CA	95827
US	001U000000NHk59mfY	HESPERIA	5cc27999-aa23-3ca4-a327-39a304f43833	1	(760) 956-3878	6954 SANTA FE AVE EAST, HESPERIA, CA, 92345, US	5cc27999-aa23-3ca4-a327-39a304f43833				Fixed Line	7609563878	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACCURATE+OVERHEAD+DOOR+SYSTEMS,+INC.	ACCURATE OVERHEAD DOOR SYSTEMS, INC.	6954 SANTA FE AVE EAST	TRUE	null	CA	92345
US	001U000000jUEj3JBL	null	81defb76-e806-332e-ad77-e8081d5863f5	1	(516) 333-2570	300 SHAMES DRIVE, NY, 11590, US	81defb76-e806-332e-ad77-e8081d5863f5				Fixed Line	5163332570	https://www.google.com/search?hl=en&source=hp&ei=JLL3XeiIFeOOggf8-aHIDA&q=ACCURATE+SURGICAL+&+SCIENTIFIC+INSTRUMENTS+CORPORATION	ACCURATE SURGICAL & SCIENTIFIC INSTRUMENTS CORPORATION	300 SHAMES DRIVE	TRUE	null	NY	11590
